app_name,platform,developer_company,app_category,version_number,version_release_date,is_current_version,initial_app_release_date,apk_format,file_size,detail_page_size,detail_page_downloads,detail_page_top_content_rating,detail_page_top_update_date,detail_page_security_ratio,detail_page_android_os,package_name,languages,requires_android,content_rating,architecture,app_permissions_count,additional_app_latest_version,uploaded_by,additional_app_category,security_report_label,security_scan_result,security_scan_date,update_description,update_description_raw,standardized_update_categories,standardized_summary,feature_specificity,feature_text_sufficient_for_research,detail_page_version,detail_page_update_date,version_history_source,version_history_source_url,detail_source_url,detail_url_source_method,detail_url_version_slug,detail_url_matches_displayed_version,source_note
TikTok,Android,TikTok Pte. Ltd.,Social,44.7.15,"Apr 12, 2026",False,September 2017,APK,513.7 MB,513.7 MB,9K+,,"Apr 12, 2026",,,com.zhiliaoapp.musically,,"Android 6.0+ (M, API 23)",,"arm64-v8a,armeabi-v7a",,Trusted App,TikTok Pte. Ltd.,,TikTok,Secure,,Download and install,"TikTok is a social video app that lets you watch, create, go LIVE, and shop. Download and install",Payments / monetization; New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,44.7.15,"Apr 12, 2026",APKPure,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/versions,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/download/44.7.15,actual_href_from_versions_page,44.7.15,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
TikTok,Android,TikTok Pte. Ltd.,Social,44.7.1,"Apr 11, 2026",False,September 2017,APK,502.3 MB,502.3 MB,3K+,,"Apr 11, 2026",,,com.zhiliaoapp.musically,,"Android 6.0+ (M, API 23)",,"arm64-v8a,armeabi-v7a",,Trusted App,Adrian Ulises Geraldo Lopez,,TikTok,Secure,,Download and install,"TikTok is a social video app that lets you watch, create, go LIVE, and shop. Download and install",Payments / monetization; New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,44.7.1,"Apr 11, 2026",APKPure,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/versions,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/download/44.7.1,actual_href_from_versions_page,44.7.1,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
TikTok,Android,TikTok Pte. Ltd.,Social,44.6.42,"Apr 3, 2026",False,September 2017,APK,357.1 MB,357.1 MB,20K+,,"Apr 3, 2026",,,com.zhiliaoapp.musically,,"Android 6.0+ (M, API 23)",,arm64-v8a,,Trusted App,TikTok Pte. Ltd.,,TikTok,Secure,,Download and install,"TikTok is a social video app that lets you watch, create, go LIVE, and shop. Download and install",Payments / monetization; New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,44.6.42,"Apr 3, 2026",APKPure,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/versions,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/download/44.6.42,actual_href_from_versions_page,44.6.42,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
TikTok,Android,TikTok Pte. Ltd.,Social,44.6.41,"Mar 31, 2026",False,September 2017,APK,357.3 MB,357.3 MB,10K+,,"Mar 31, 2026",,,com.zhiliaoapp.musically,,"Android 6.0+ (M, API 23)",,arm64-v8a,,Trusted App,TikTok Pte. Ltd.,,TikTok,Secure,,Download and install,"TikTok is a social video app that lets you watch, create, go LIVE, and shop. Download and install",Payments / monetization; New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,44.6.41,"Mar 31, 2026",APKPure,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/versions,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/download/44.6.41,actual_href_from_versions_page,44.6.41,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
TikTok,Android,TikTok Pte. Ltd.,Social,44.6.4,"Apr 5, 2026",False,September 2017,APK; XAPK,497.5 MB,497.5 MB,6K+,,"Apr 5, 2026",,,com.zhiliaoapp.musically,,"Android 6.0+ (M, API 23)",,"arm64-v8a,armeabi-v7a",,Trusted App,Runcan Vlad,,TikTok,,,Download and install,"TikTok is a social video app that lets you watch, create, go LIVE, and shop. Download and install",Payments / monetization; New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,44.6.4,"Apr 5, 2026",APKPure,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/versions,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/download/44.6.4,actual_href_from_versions_page,44.6.4,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
TikTok,Android,TikTok Pte. Ltd.,Social,44.6.3,"Apr 3, 2026",False,September 2017,XAPK,193.9 MB,193.9 MB,1K+,,"Apr 3, 2026",,,com.zhiliaoapp.musically,,"Android 6.0+ (M, API 23)",,arm64-v8a,,Trusted App,Adrian Ulises Geraldo Lopez,,TikTok,,,Download and install,"TikTok is a social video app that lets you watch, create, go LIVE, and shop. Download and install",Payments / monetization; New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,44.6.3,"Apr 3, 2026",APKPure,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/versions,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/download/44.6.3,actual_href_from_versions_page,44.6.3,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
TikTok,Android,TikTok Pte. Ltd.,Social,44.6.2,"Apr 2, 2026",False,September 2017,APK,499.3 MB,499.3 MB,1K+,,"Apr 2, 2026",,,com.zhiliaoapp.musically,,"Android 6.0+ (M, API 23)",,"arm64-v8a,armeabi-v7a",,Trusted App,Yishak Nigatu,,TikTok,,,Download and install,"TikTok is a social video app that lets you watch, create, go LIVE, and shop. Download and install",Payments / monetization; New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,44.6.2,"Apr 2, 2026",APKPure,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/versions,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/download/44.6.2,actual_href_from_versions_page,44.6.2,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
TikTok,Android,TikTok Pte. Ltd.,Social,44.5.42,"Mar 26, 2026",False,September 2017,APK,356.4 MB,356.4 MB,10K+,,"Mar 26, 2026",,,com.zhiliaoapp.musically,,"Android 6.0+ (M, API 23)",,arm64-v8a,,Trusted App,TikTok Pte. Ltd.,,TikTok,Secure,,Download and install,"TikTok is a social video app that lets you watch, create, go LIVE, and shop. Download and install",Payments / monetization; New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,44.5.42,"Mar 26, 2026",APKPure,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/versions,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/download/44.5.42,actual_href_from_versions_page,44.5.42,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
TikTok,Android,TikTok Pte. Ltd.,Social,44.5.41,"Mar 23, 2026",False,September 2017,APK,356.2 MB,356.2 MB,9K+,,"Mar 23, 2026",,,com.zhiliaoapp.musically,,"Android 6.0+ (M, API 23)",,arm64-v8a,,Trusted App,TikTok Pte. Ltd.,,TikTok,Secure,,Download and install,"TikTok is a social video app that lets you watch, create, go LIVE, and shop. Download and install",Payments / monetization; New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,44.5.41,"Mar 23, 2026",APKPure,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/versions,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/download/44.5.41,actual_href_from_versions_page,44.5.41,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
TikTok,Android,TikTok Pte. Ltd.,Social,44.5.3,"Mar 26, 2026",False,September 2017,XAPK,193.5 MB,193.5 MB,1K+,,"Mar 26, 2026",,,com.zhiliaoapp.musically,,"Android 6.0+ (M, API 23)",,arm64-v8a,,Trusted App,Runcan Vlad,,TikTok,,,Download and install,"TikTok is a social video app that lets you watch, create, go LIVE, and shop. Download and install",Payments / monetization; New product feature,Version-specific note suggests: Download and install,version_specific_or_actionable,True,44.5.3,"Mar 26, 2026",APKPure,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/versions,https://apkpure.com/tiktok-musically-2025/com.zhiliaoapp.musically/download/44.5.3,actual_href_from_versions_page,44.5.3,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
